Tags,project_type,category,project,total_debt
convention,None-Quantum,None-Quantum,pre-commit/pre-commit,9.746835443037975
convention,None-Quantum,None-Quantum,dcloudio/mui,0.0
convention,None-Quantum,None-Quantum,owntracks/recorder,0.0
convention,None-Quantum,None-Quantum,janeczku/calibre-web,14.62
unused,Quantum,Quantum Algorithsm,netket/netket,59.05172413793104
unused,Quantum,Quantum Algorithsm,JoshuaSBrown/QC_Tools,0
unused,Quantum,Quantum Algorithsm,quantumlib/OpenFermion,28.353192789489764
unused,Quantum,Quantum Algorithsm,ProjectQ-Framework/FermiLib,42.55319148936171
unused,Quantum,Quantum Algorithsm,dwave-examples/factoring,0.0
unused,Quantum,Quantum Algorithsm,PanPalitta/phase_estimation,0
unused,Quantum,Quantum Algorithsm,qrefine/qrefine,19.1
unused,Quantum,Quantum Algorithsm,mabuchilab/QNET,22.914311553244406
unused,Quantum,Quantum Algorithsm,Qiskit/qiskit-aqua,22.5236134657302
unused,Quantum,Quantum Algorithsm,XanaduAI/thewalrus,10.643564356435643
unused,Quantum,Quantum Algorithsm,rigetti/grove,4.523809523809524
unused,Quantum,Quantum Algorithsm,Q-solvers/EDLib,20.0
unused,Quantum,Quantum Algorithsm,aeantipov/pomerol,0.0
unused,Quantum,Quantum Algorithsm,qucontrol/krotov,7.346189164370983
unused,Quantum,ToolKit,qucat/qucat,7.371695178849145
unused,Quantum,ToolKit,orbkit/orbkit,15.48
unused,Quantum,ToolKit,deepchem/deepchem,22.680000000000003
unused,Quantum,ToolKit,bloomberg/quantum,0.07
unused,Quantum,ToolKit,lmacken/quantumrandom,22.22222222222222
unused,Quantum,ToolKit,rigetti/forest-benchmarking,11.821086261980831
unused,Quantum,ToolKit,TRIQS/triqs,15.44
unused,Quantum,ToolKit,zoran-cuckovic/QGIS-visibility-analysis,23.68
unused,Quantum,ToolKit,QuTech-Delft/qtt,22.53
unused,Quantum,ToolKit,evaleev/libint,34.693877551020414
unused,Quantum,ToolKit,redhat-cip/openstack-quantum-puppet,0
unused,Quantum,ToolKit,qubekit/QUBEKit,18.55791962174941
