Repos_Name,flag,Type,ID,Category,Final
Qiskit/qiskit-aqua,1,Quantum Algorithsm,14,Quantum,1
quantumlib/OpenFermion,1,Quantum Algorithsm,14,Quantum,1
rigetti/grove,1,Quantum Algorithsm,14,Quantum,1
netket/netket,1,Quantum Algorithsm,14,Quantum,1
XanaduAI/thewalrus,1,Quantum Algorithsm,14,Quantum,1
qucontrol/krotov,1,Quantum Algorithsm,14,Quantum,1
aeantipov/pomerol,1,Quantum Algorithsm,14,Quantum,1
Q-solvers/EDLib,1,Quantum Algorithsm,14,Quantum,1
dwave-examples/factoring,1,Quantum Algorithsm,14,Quantum,1
PanPalitta/phase_estimation,1,Quantum Algorithsm,14,Quantum,1
ProjectQ-Framework/FermiLib,1,Quantum Algorithsm,14,Quantum,1
JoshuaSBrown/QC_Tools,1,Quantum Algorithsm,14,Quantum,1
shinmorino/sqaod,1,Quantum Annealing,6,Quantum,1
dwavesystems/qbsolv,1,Quantum Annealing,6,Quantum,1
dwavesystems/dimod,1,Quantum Annealing,6,Quantum,1
dwavesystems/dwave-system,1,Quantum Annealing,6,Quantum,1
dwavesystems/dwavebinarycsp,1,Quantum Annealing,6,Quantum,1
dwavesystems/penaltymodel,1,Quantum Annealing,6,Quantum,1
ValeevGroup/mpqc,1,Quantum-Chemistry,20,Quantum,1
pyscf/pyscf,1,Quantum-Chemistry,20,Quantum,1
MolSSI-BSE/basis_set_exchange,1,Quantum-Chemistry,20,Quantum,1
MolSSI/QCElemental,1,Quantum-Chemistry,20,Quantum,1
MolSSI/QCEngine,1,Quantum-Chemistry,20,Quantum,1
MolSSI/QCFractal,1,Quantum-Chemistry,20,Quantum,1
SebWouters/CheMPS2,1,Quantum-Chemistry,20,Quantum,1
Quantum-Dynamics-Hub/libra-code,1,Quantum-Chemistry,20,Quantum,1
QMCPACK/qmcpack,1,Quantum-Chemistry,20,Quantum,1
cp2k/cp2k,1,Quantum-Chemistry,20,Quantum,1
votca/xtp,1,Quantum-Chemistry,20,Quantum,1
hande-qmc/hande,1,Quantum-Chemistry,20,Quantum,1
tmancal74/quantarhei,1,Quantum-Chemistry,20,Quantum,1
LCPQ/quantum_package,1,Quantum-Chemistry,20,Quantum,1
vonDonnerstein/QuantumLab.jl,1,Quantum-Chemistry,20,Quantum,1
ericchansen/q2mm,1,Quantum-Chemistry,20,Quantum,1
aoterodelaroza/critic2,1,Quantum-Chemistry,20,Quantum,1
zlatko-minev/pyEPR,1,Experimentation,20,Quantum,1
GQCG/GQCP,1,Quantum-Chemistry,20,Quantum,1
qcdb/qcdb,1,Quantum-Chemistry,20,Quantum,1
softwareQinc/qpp,1,Simulator,17,Quantum,1
QuantumBFS/YaoBlocks.jl,1,Simulator,17,Quantum,1
issp-center-dev/HPhi,1,Simulator,17,Quantum,1
SoftwareQuTech/SimulaQron,1,Simulator,17,Quantum,1
QuantumBFS/Yao.jl,1,Simulator,17,Quantum,1
Strilanc/Quirk,1,Simulator,17,Quantum,1
Qiskit/qiskit-aer,1,Simulator,17,Quantum,1
qutip/qutip,1,Simulator,17,Quantum,1
QuEST-Kit/QuEST,1,Simulator,17,Quantum,1
vm6502q/qrack,1,Simulator,17,Quantum,1
qulacs/qulacs,1,Simulator,17,Quantum,1
quantumlib/OpenFermion-Cirq,1,Simulator,17,Quantum,1
microsoft/qmt,1,Simulator,17,Quantum,1
Approximates/dotBloch,1,Simulator,17,Quantum,1
Qiskit/qiskit-jku-provider,1,Simulator,17,Quantum,1
ngnrsaa/qflex,1,Simulator,17,Quantum,1
aparent/QCViewer,1,Simulator,17,Quantum,1
rigetti/qvm,1,Simulator,2,Quantum,1
marvel-nccr/quantum-mobile,1,Simulator,2,Quantum,1
