Repos_Name,Names,Created_at,login,Fork,Size,stars,releases,open_issues,commits,contributors,Travis,Docker,Language,tyoe,total_pr,total_is,created_at,updated_at,age,file_name,flag,Type,homepage,Description
Qiskit/qiskit-ignis,qiskit-ignis,2018-12-11T01:53:00Z,Qiskit,103,9093,90,4,43,446,24,1,0,Python,1,312,463,2018-12-11T01:53:00Z,2020-09-24T21:09:31Z,653,qiskit-ignis_167_snapshots,1,Tool,,"Ignis provides tools for quantum hardware verification, noise characterization, and error correction."
PanPalitta/phase_estimation,phase_estimation,2014-11-27T00:07:35Z,PanPalitta,5,1439,6,3,3,229,2,0,0,C++,1,41,50,2014-11-27T00:07:35Z,2019-01-05T02:08:50Z,1500,phase_estimation_168_snapshots,1,Quantum Algorithsm,http://panpalitta.github.io/phase_estimation/,This project apply reinforcement learning algorithms based on DE and PSO to optimize adaptive quantum-phase estimation.
biklooost/PROPhet,PROPhet,2016-09-16T16:21:06Z,biklooost,26,4980,45,3,5,120,3,0,0,C++,1,6,12,2016-09-16T16:21:06Z,2020-09-17T22:51:43Z,1462,N/A,0,,,PROPhet is a code to integrate machine learning techniques with first-principles quantum chemistry approaches
ProjectQ-Framework/FermiLib,FermiLib,2017-05-01T05:46:51Z,ProjectQ-Framework,33,747,72,3,4,127,10,1,1,Python,1,134,154,2017-05-01T05:46:51Z,2020-09-25T12:21:22Z,1243,FermiLib_170_snapshots,1,Quantum Algorithsm,https://projectq.ch/,FermiLib: Open source software for analyzing fermionic quantum simulation algorithms
XanaduAI/blackbird,blackbird,2018-10-25T21:24:07Z,XanaduAI,11,2959,28,3,3,151,2,1,0,C++,1,18,25,2018-10-25T21:24:07Z,2020-09-09T02:29:34Z,684,blackbird_171_snapshots,1,Assembly,https://quantum-blackbird.readthedocs.io,"Blackbird is a quantum assembly language for continuous-variable quantum computation, that can be used to program Xanadu's quantum photonics hardware and Strawberry Fields simulator."
HuangJunye/QPong,QPong,2019-02-27T17:13:08Z,HuangJunye,13,2600,37,3,13,202,3,0,0,Python,1,19,35,2019-02-27T17:13:08Z,2020-09-23T02:08:20Z,573,QPong_172_snapshots,1,Fun/ Game,https://github.com/HuangJunye/QPong-Unity,A quantum version of the classic Pong using Qiskit and pygame. Unity version here:
softwareQinc/staq,staq,2019-05-14T17:02:22Z,softwareQinc,8,9634,44,3,5,178,3,1,0,C++,1,3,27,2019-05-14T17:02:22Z,2020-09-15T18:15:26Z,490,staq_173_snapshots,1,Full-stack Library/ Framework,https://arxiv.org/abs/1912.06070,A full-stack quantum processing toolkit
ericchansen/q2mm,q2mm,2014-08-26T00:21:27Z,ericchansen,18,7460,10,2,7,629,9,0,0,Python,1,19,41,2014-08-26T00:21:27Z,2020-09-21T00:33:50Z,2218,q2mm_174_snapshots,1,Chemistry/ Other-Quantum,,Quantum to Molecular Mechanics (Q2MM)
aoterodelaroza/critic2,critic2,2015-10-02T02:46:58Z,aoterodelaroza,21,247637,41,2,5,1685,4,0,0,Fortran,1,5,29,2015-10-02T02:46:58Z,2020-09-25T00:59:58Z,1819,critic2_175_snapshots,1,Chemistry/ Other-Quantum,,Analysis of quantum chemical interactions in molecules and solids.
orbkit/orbkit,orbkit,2015-11-10T08:48:43Z,orbkit,14,10846,55,2,4,348,6,0,0,Python,1,20,30,2015-11-10T08:48:43Z,2020-09-18T08:42:27Z,1773,orbkit_176_snapshots,1,Tool,http://orbkit.github.io,A Toolbox for Post-Processing Quantum Chemical Wavefunction Data
JoshuaSBrown/QC_Tools,QC_Tools,2016-03-30T04:22:06Z,JoshuaSBrown,6,13925,12,2,8,271,4,1,0,C++,1,32,44,2016-03-30T04:22:06Z,2020-09-20T04:18:55Z,1634,QC_Tools_177_snapshots,1,Quantum Algorithsm,,This small repository provides functionality for calculating the charge transfer integrals between two molecules. 
zlatko-minev/pyEPR,pyEPR,2017-08-22T14:47:16Z,zlatko-minev,44,3631,23,2,12,309,13,0,0,Jupyter Notebook,1,28,37,2017-08-22T14:47:16Z,2020-09-24T03:11:06Z,1128,pyEPR_178_snapshots,1,Chemistry/ Other-Quantum,https://pyepr-docs.readthedocs.io,"Powerful, automated analysis and design of quantum microwave chips & devices [Energy-Participation Ratio and more]"
ctuning/ck-quantum,ck-quantum,2018-05-01T12:02:10Z,ctuning,5,365,30,2,3,380,9,0,1,Python,1,4,19,2018-05-01T12:02:10Z,2020-09-21T22:35:23Z,874,ck-quantum_179_snapshots,1,Other-Quantum,,Miscellaneous resources for Quantum Collective Knowledge
Qiskit/qiskit-jku-provider,qiskit-jku-provider,2018-06-27T19:36:57Z,Qiskit,14,283,12,2,5,215,9,1,0,C++,1,45,67,2018-06-27T19:36:57Z,2020-09-08T08:01:43Z,803,qiskit-jku-provider_180_snapshots,1,Simulator,http://iic.jku.at/eda/research/quantum_simulation/,A local provider which allows Qiskit to use a decision-diagrams quantum simulator from JKU
Quantomatic/pyzx,pyzx,2018-07-02T10:37:07Z,Quantomatic,22,26059,99,2,4,282,8,0,0,OpenQASM,1,13,46,2018-07-02T10:37:07Z,2020-09-18T13:30:21Z,809,pyzx_181_snapshots,1,Compiler,,Python library for quantum circuit rewriting and optimisation using the ZX-calculus
GQCG/GQCP,GQCP,2018-08-23T12:10:29Z,GQCG,6,70120,5,2,93,1500,5,1,0,C++,1,308,583,2018-08-23T12:10:29Z,2020-09-25T10:23:54Z,763,GQCP_182_snapshots,1,Chemistry/ Other-Quantum,,The Ghent Quantum Chemistry Package for electronic structure calculations
qubekit/QUBEKit,QUBEKit,2019-04-10T09:17:09Z,qubekit,6,2810,4,2,0,361,2,1,0,Python,1,149,150,2019-04-10T09:17:09Z,2020-09-25T16:21:07Z,534,QUBEKit_183_snapshots,1,Library/ Framework,https://blogs.ncl.ac.uk/danielcole/qube-force-field/,  Quantum Mechanical Bespoke Force Field Derivation Toolkit
tensorflow/quantum,quantum,2020-02-06T19:58:35Z,tensorflow,155,15395,877,2,35,198,7,0,0,Python,1,243,342,2020-02-06T19:58:35Z,2020-09-25T13:24:45Z,231,quantum_184_snapshots,1,Library/ Framework,https://www.tensorflow.org/quantum,Hybrid Quantum-Classical Machine Learning in TensorFlow
redhat-cip/openstack-quantum-puppet,openstack-quantum-puppet,2012-09-29T22:01:47Z,redhat-cip,21,408,1,1,3,175,11,0,0,Puppet,1,13,13,2012-09-29T22:01:47Z,2014-05-08T17:20:50Z,585,openstack-quantum-puppet_185_snapshots,1,Library/ Framework,,Deploy Quantum with Puppet
arguelles/nuSQuIDS,nuSQuIDS,2014-09-17T13:25:12Z,arguelles,21,48312,10,1,2,726,9,0,0,C++,1,11,16,2014-09-17T13:25:12Z,2020-09-22T01:01:19Z,2196,nuSQuIDS_186_snapshots,1,Other-Quantum,,Neutrino oscillation software using SQuIDS.
Perfecto-Quantum/Quantum-Starter-Kit,Quantum-Starter-Kit,2016-11-03T08:44:59Z,Perfecto-Quantum,55,17127,33,1,7,127,11,0,0,Java,1,8,44,2016-11-03T08:44:59Z,2020-09-22T04:59:03Z,1418,N/A,0,,,"Get started with Quantum! Clone or download this repository to start, contains examples of tests and step definitions."
niedoida/niedoida,niedoida,2016-11-22T10:18:08Z,niedoida,5,105847,4,1,4,106,4,0,0,C++,1,42,54,2016-11-22T10:18:08Z,2020-04-03T15:01:01Z,1228,N/A,0,,https://niedoida.org,Niedoida is a general-purpose quantum-chemical and microelectrostatic package
qrefine/qrefine,qrefine,2017-04-04T04:32:01Z,qrefine,6,176811,9,1,23,807,8,1,0,Python,1,6,46,2017-04-04T04:32:01Z,2020-09-21T06:26:42Z,1266,qrefine_189_snapshots,1,Other-Quantum,https://qrefine.com,Quantum Refinement Module
qcdb/qcdb,qcdb,2018-02-15T20:52:04Z,qcdb,7,5816,2,1,4,360,3,1,0,Python,1,37,37,2018-02-15T20:52:04Z,2020-08-21T00:50:37Z,917,qcdb_190_snapshots,1,Chemistry/ Other-Quantum,,quantum chemistry common driver and databases
mupq/pqm4,pqm4,2018-03-16T09:58:41Z,mupq,19,1677,77,1,5,171,13,0,0,Assembly,1,96,157,2018-03-16T09:58:41Z,2020-09-23T17:17:07Z,922,pqm4_191_snapshots,1,Cryptography,,Post-quantum crypto library for the ARM Cortex-M4
boschmitt/tweedledum,tweedledum,2018-07-13T20:03:36Z,boschmitt,8,9261,41,1,8,266,7,1,0,C++,1,74,80,2018-07-13T20:03:36Z,2020-09-24T10:37:35Z,803,tweedledum_192_snapshots,1,Library/ Framework,,"C++17 Library for writing, manipulating, and optimizing quantum circuits"
ngnrsaa/qflex,qflex,2019-02-07T21:08:10Z,ngnrsaa,9,3509,54,1,26,1282,12,1,1,C++,1,174,269,2019-02-07T21:08:10Z,2020-09-25T10:18:20Z,595,qflex_193_snapshots,1,Simulator,,"Flexible Quantum Circuit Simulator (qFlex) implements an efficient tensor network, CPU-based simulator of large quantum circuits."
BBN-Q/Qlab,BBN-Q,2012-01-27T15:20:23Z,,11,13587,28,14,8,2289,13,0,0,MATLAB,1,68,93,2012-01-27T15:20:23Z,2020-06-18T20:25:01Z,3065,Qlab_194_snapshots,,Experimentation,,Measurement and control software for superconducting qubits.
BBN-Q/PyQLab,BBN-Q,2012-04-04T19:36:43Z,,11,2372,15,4,6,1153,6,1,0,Python,1,74,132,2012-04-04T19:36:43Z,2020-07-15T23:01:41Z,3024,PyQLab_195_snapshots,,Experimentation,,A python library for instrument control and superconducting QIP experiments. 
BBN-Q/pyqgl2,BBN-Q,2017-04-10T18:44:19Z,,2,1977,5,0,40,130,4,1,0,Python,1,8,17,2017-04-10T18:44:19Z,2020-06-18T22:47:55Z,1165,pyqgl2_196_snapshots,,Assembly,,An imperative Quantum Gate Language (QGL) embedded in python.
artiste-qb-net/qubiter,artiste-qb-net,2016-03-21T05:34:07Z,,28,13129,95,0,37,366,3,0,0,HTML,1,3,5,2016-03-21T05:34:07Z,2020-10-01T06:58:04Z,1655,qubiter_197_snapshots,,Assembly,,"Python tools for reading, writing, compiling, simulating quantum computer circuits. Includes numpy and tensorflow backends. “Quantum Space, the final frontier. These are the voyages of the starship Qubiter. Its five-year mission: to explore strange new worlds, to seek out new life and new civilizations, to boldly go where no man has gone before.”"
BBN-Q/QGL.jl,BBN-Q,2016-12-20T14:47:00Z,,3,118,8,0,6,109,5,1,0,Julia,1,13,25,2016-12-20T14:47:00Z,2020-06-18T22:47:23Z,1276,QGL.jl_198_snapshots,,Assembly,,A performance orientated QGL compiler.
dwavesystems/qbsolv,dwavesystems,2017-01-06T18:18:22Z,,217,41888,873,19,27,394,23,1,0,q,1,94,125,2017-01-06T18:18:22Z,2020-10-05T15:46:19Z,1367,qbsolv_199_snapshots,,Quantum Annealing,https://docs.ocean.dwavesys.com/projects/qbsolv,"Qbsolv,a decomposing solver, finds a minimum value of a large quadratic unconstrained binary optimization (QUBO) problem by splitting it into pieces solved either via a D-Wave system or a classical tabu solver.   (Note that qbsolv by default uses its internal classical solver.  Access to a D-Wave system must be arranged separately.)"
dwavesystems/dimod,dwavesystems,2017-08-18T01:02:17Z,,42,2851,66,82,100,1540,17,0,0,Python,1,453,637,2017-08-18T01:02:17Z,2020-10-15T21:50:23Z,1154,dimod_200_snapshots,,Quantum Annealing,https://docs.ocean.dwavesys.com/en/stable/docs_dimod/,A shared API for QUBO/Ising samplers.
dwavesystems/dwave-system,dwavesystems,2018-02-19T19:54:19Z,,33,1662,53,48,61,857,12,0,0,Python,1,206,300,2018-02-19T19:54:19Z,2020-10-20T20:08:40Z,973,dwave-system_201_snapshots,,Quantum Annealing,https://docs.ocean.dwavesys.com/projects/system,"An API for easily incorporating the D-Wave system as a sampler, either directly or through Leap's cloud-based hybrid samplers"
dwavesystems/dwavebinarycsp,dwavesystems,2017-12-13T01:56:30Z,,18,413,11,14,20,269,7,0,0,Python,1,76,86,2017-12-13T01:56:30Z,2020-09-09T23:22:31Z,1001,dwavebinarycsp_202_snapshots,,Quantum Annealing,https://docs.ocean.dwavesys.com/projects/binarycsp/en/latest,Map constraint satisfaction problems with binary variables to binary quadratic models.
dwavesystems/penaltymodel,dwavesystems,2017-11-03T22:50:38Z,,14,572,12,60,13,570,8,0,0,Python,1,79,109,2017-11-03T22:50:38Z,2020-10-15T16:04:26Z,1076,penaltymodel_203_snapshots,,Quantum Annealing,https://docs.ocean.dwavesys.com/projects/penaltymodel/en/latest,Utilities and interfaces for using penalty models.
decodoku/A_Game_to_Benchmark_Quantum_Computers,decodoku,2017-08-14T10:05:57Z,,14,77331,36,0,0,148,5,0,0,Jupyter Notebook,1,3,8,2017-08-14T10:05:57Z,2020-08-17T10:55:11Z,1099,A_Game_to_Benchmark_Quantum_Computers_204_snapshots,,Fun/ Game,,Simple puzzles implemented on quantum devices
JavaFXpert/quantum-toy-piano-ibmq,JavaFXpert,2018-06-07T15:58:06Z,,11,42656,33,0,0,124,2,0,0,JavaScript,1,1,1,2018-06-07T15:58:06Z,2020-10-07T05:46:35Z,852,quantum-toy-piano-ibmq_205_snapshots,,Fun/ Game,,Quantum Music Composer for IBM quantum computers
aparent/QCViewer,aparent,2012-01-11T17:49:28Z,,9,5013,17,6,11,280,5,0,0,C++,1,0,7,2012-01-11T17:49:28Z,2020-08-18T12:49:49Z,3141,QCViewer_206_snapshots,,Simulator,http://qcirc.iqc.uwaterloo.ca/,A visual quantum circuit design and simulation tool.
nathanshammah/piqs,nathanshammah,2017-09-22T06:12:57Z,,4,3015,13,2,1,283,3,1,0,Python,1,59,62,2017-09-22T06:12:57Z,2020-09-27T16:22:11Z,1101,piqs_207_snapshots,,Simulator,,Permutational Invariance Quantum Solver for Lindblad open quantum system dynamics
