Repos_Name,Names,Created_at,login,Fork,Size,stars,releases,open_issues,commits,contributors,Travis,Docker,Language,tyoe,total_pr,total_is,created_at,updated_at,age,file_name,flag,Type,homepage,Description
dcloudio/mui,mui,2014-08-18T07:14:41Z,dcloudio,6576,8079,12815,26,328,519,13,0,0,JavaScript,0,48,171,2014-08-18T07:14:41Z,2020-09-26T01:57:26Z,2230,mui_snapshots,1,None,nan,最接近原生APP体验的高性能框架
SciML/DifferentialEquations.jl,DifferentialEquations.jl,2016-05-11T05:13:39Z,SciML,115,177380,1291,68,80,1216,17,1,0,Julia,0,65,572,2016-05-11T05:13:39Z,2020-09-25T06:04:33Z,1598,DifferentialEquations.jl_snapshots,1,None,https://docs.sciml.ai/dev/index.html,Multi-language suite for high-performance solvers of differential equations
tobie/ua-parser,ua-parser,2010-09-15T14:09:21Z,tobie,522,5052,1977,16,0,945,69,1,0,Perl,0,318,528,2010-09-15T14:09:21Z,2020-09-20T13:28:00Z,3657,N/A,0,None,nan,A multi-language port of Browserscope's user agent parser.
Kunstmaan/KunstmaanBundlesCMS,KunstmaanBundlesCMS,2014-08-14T08:32:55Z,Kunstmaan,190,53093,334,105,78,3562,90,1,0,PHP,0,1995,2672,2014-08-14T08:32:55Z,2020-09-25T12:43:18Z,2234,KunstmaanBundlesCMS_snapshots,1,None,https://cms.kunstmaan.be,"An advanced yet user-friendly content management system, based on the full stack Symfony framework combined with a whole host of community bundles. It provides a full featured, multi-language CMS system with an innovative page and form assembling process, versioning, workflow, translation and media managers and much more."
quack/quack,quack,2015-10-02T02:03:12Z,quack,28,3357,297,0,7,1177,15,1,1,PHP,0,104,133,2015-10-02T02:03:12Z,2020-08-30T23:46:25Z,1794,quack_snapshots,1,None,nan,:baby_chick: A multi-paradigm programming language with gradual and duck typing that targets PHP and JS
kivy/kivy,kivy,2010-11-03T20:27:32Z,kivy,2464,73224,11462,34,770,12143,385,0,0,Python,0,2949,6266,2010-11-03T20:27:32Z,2020-09-26T02:54:50Z,3614,kivy_snapshots,1,None,https://kivy.org,"Open source UI framework written in Python, running on Windows, Linux, macOS, Android and iOS"
lbryio/lbry-sdk,lbry-sdk,2015-08-20T15:24:10Z,lbryio,371,20050,4559,594,261,7669,75,0,1,Python,0,1575,2754,2015-08-20T15:24:10Z,2020-09-25T04:28:12Z,1862,lbry-sdk_snapshots,1,None,https://lbry.com,"The LBRY SDK for building decentralized, censorship resistant, monetized, digital content apps."
emeryberger/CSrankings,CSrankings,2016-05-03T00:13:00Z,emeryberger,1035,1945869,1285,0,137,6474,564,0,0,Python,0,1793,2731,2016-05-03T00:13:00Z,2020-09-26T02:28:05Z,1607,CSrankings_snapshots,1,None,http://csrankings.org,A web app for ranking computer science departments according to their research output in selective venues.
Nuitka/Nuitka,Nuitka,2013-04-23T15:40:33Z,Nuitka,222,33747,3132,195,164,5148,69,1,0,Python,0,163,651,2013-04-23T15:40:33Z,2020-09-25T21:19:00Z,2712,Nuitka_snapshots,1,None,http://nuitka.net,"Nuitka is a Python compiler written in Python.  It's fully compatible with Python 2.6, 2.7, 3.3, 3.4, 3.5, 3.6, 3.7, and 3.8.  You feed it your Python app, it does a lot of clever things, and spits out an executable or extension module. "
guanguans/favorite-link,favorite-link,2018-08-29T02:18:05Z,guanguans,170,8962,1421,1,9,5141,1,1,0,Python,0,0,0,2018-08-29T02:18:05Z,2020-09-25T08:09:16Z,758,favorite-link_snapshots,1,None,https://guanguans.github.io/favorite-link,❤️ 每日收集喜欢的开源项目 | RSS 订阅 |  快知 app 订阅
dpgaspar/Flask-AppBuilder,Flask-AppBuilder,2013-11-09T21:13:29Z,dpgaspar,889,41998,2879,47,84,3652,101,1,0,Python,0,504,1391,2013-11-09T21:13:29Z,2020-09-25T16:18:02Z,2511,Flask-AppBuilder_snapshots,1,None,nan,"Simple and rapid application development framework, built on top of Flask. includes detailed security, auto CRUD generation for your models, google charts and much more. Demo (login with guest/welcome) - http://flaskappbuilder.pythonanywhere.com/"
plotly/dash,dash,2015-04-10T01:53:08Z,plotly,1274,26798,12393,57,345,3226,46,0,0,Python,0,454,981,2015-04-10T01:53:08Z,2020-09-25T22:32:26Z,1995,dash_snapshots,1,None,https://plotly.com/dash,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required."
snapcore/snapcraft,snapcraft,2015-10-29T17:23:15Z,snapcore,352,25095,898,121,74,3001,142,1,1,Python,0,3047,3047,2015-10-29T17:23:15Z,2020-09-25T15:01:35Z,1792,N/A,0,None,https://snapcraft.io,"Package, distribute, and update any app for Linux and IoT."
AppDaemon/appdaemon,appdaemon,2016-07-13T17:43:46Z,AppDaemon,313,14824,463,20,128,2876,96,0,1,Python,0,494,897,2016-07-13T17:43:46Z,2020-09-24T12:42:53Z,1533,appdaemon_snapshots,1,None,nan,:page_facing_up: Python Apps for Home Automation
